"","X1","UID","iso2","iso3","code3","FIPS","Admin2","Lat","Combined_Key","Date","Case","Long","Country/Region","Province/State"
"198",196329,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-21,30,-78.02750466,"US","New York"
"199",196330,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-22,30,-78.02750466,"US","New York"
"200",196331,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-23,30,-78.02750466,"US","New York"
"201",196332,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-24,31,-78.02750466,"US","New York"
"202",196333,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-25,35,-78.02750466,"US","New York"
"203",196334,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-26,35,-78.02750466,"US","New York"
"204",196335,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-27,35,-78.02750466,"US","New York"
"205",196336,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-28,35,-78.02750466,"US","New York"
"206",196337,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-29,35,-78.02750466,"US","New York"
"207",196338,84036003,"US","USA",840,36003,"Allegany",42.25748406,"Allegany, New York, US",2020-04-30,35,-78.02750466,"US","New York"
